driver_id,num_trips,total_miles,total_drive_time_min,avg_trip_duration_min,avg_trip_miles,avg_speed_overall,max_speed_overall,total_harsh_brakes,total_harsh_accels,avg_num_harsh_brakes,avg_num_harsh_accels,night_trip_pct_overall,idling_pct_overall,urban_pct_overall,highway_pct_overall,years_driving,num_claims,num_violations,vehicle_age,vehicle_type,insurance_policy_length_years,claims_weighted_score,vehicle_type_num,risk_score
driver_29,10,124.70854291235936,299.0,29.9,12.470854291235934,24.962219957548314,90.0,13,16,1.3,1.6,0.0969899665551839,0.1251393534002229,0.3999442586399108,0.1987179487179486,22,0,0,10,Sedan,7,0,0,100.0
driver_2,10,138.3907754584576,327.3333333333333,32.733333333333334,13.83907754584576,25.351201488590466,89.45264803181642,14,18,1.4,1.8,0.1608961303462321,0.1183808553971486,0.4002036659877799,0.1985743380855396,21,0,0,12,Sedan,8,0,0,100.0
driver_30,10,91.44877102938894,222.66666666666669,22.26666666666667,9.144877102938894,24.65863060406148,90.0,10,14,1.0,1.4,0.0,0.1205089820359281,0.4000748502994011,0.1983532934131736,2,0,0,3,Sedan,1,0,0,100.0
driver_3,10,103.6632927486549,248.0,24.8,10.366329274865487,25.202489929103944,88.9582232580963,10,18,1.0,1.8,0.1760752688172042,0.1142473118279569,0.3998655913978494,0.1985887096774193,24,0,0,12,Sedan,6,0,0,100.0
driver_4,10,91.40084682666682,219.33333333333337,21.933333333333337,9.140084682666682,24.492629727687273,90.0,8,15,0.8,1.5,0.85790273556231,0.1257598784194528,0.4004559270516717,0.1983282674772036,12,1,1,6,SUV,8,40,1,100.0
driver_5,10,124.29272918316924,294.4166666666667,29.44166666666667,12.429272918316924,25.280788427211476,89.73831620960837,9,20,0.9,2.0,0.5077837531842626,0.1135012737050664,0.3999433908859326,0.1986979903764505,6,0,1,10,Sedan,5,15,0,100.0
driver_6,10,118.86955789132551,285.5833333333333,28.55833333333333,11.886955789132552,24.62775221014788,88.28754385503602,7,16,0.7,1.6,0.0633206886489641,0.1263495768894076,0.4003501604902247,0.1987160782025094,2,0,0,2,Sedan,4,0,0,100.0
driver_7,10,134.68772801291294,322.75,32.275,13.468772801291294,24.91486502652015,90.0,11,23,1.1,2.3,0.3312677510973405,0.120836560805577,0.4002065582235992,0.1990704879938032,28,0,1,5,Sedan,2,15,0,100.0
driver_8,10,141.94652665968843,339.3333333333333,33.93333333333333,14.194652665968842,25.029615003326978,90.0,14,15,1.4,1.5,0.3118860510805501,0.1193516699410608,0.400049115913556,0.1989194499017681,21,0,0,11,Sedan,6,0,0,100.0
driver_9,10,170.87003623596976,407.75,40.775,17.087003623596978,25.13589822756504,90.0,15,25,1.5,2.5,0.0921724913141222,0.1124054772123441,0.4003678724708767,0.1990598814633149,1,0,1,1,SUV,6,15,1,100.0
